"SampleID_Fix","SampleID","SampleNumber","SampleType","SampleSubType","TreatRep","Treat.code","ReplicateNumber","Treatment","PlantSpeciesSampled","PlantSpeciesMissing","TreatmentName","Competion","Location","DateCollected","Randomized_Block_DNA_Extraction","WeightExtracted","ExtractionKitType","DNAExtractionLot","DNAConcentration","ExtractionDate","WhoExtracted","Sequencing_Plate","Sequencing_Well","Notes","Description","grass","forb","SampleID.16S","forb.wt","grass.wt","Weight.g","PC.F","strat","FunGroup"
"GLM-0201","GLM_0201",201,"Soil","Rhizosphere_soil","BRAG1",NA,1,"BRAG","Bromus hordeaceus","Agoseris heterophylla","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","153.1","MoBio PowerSoil","PS16F2","6.79","7/2/18","Marina",1,"D2","",NA,"Bromus hordeaceus","Agoseris heterophylla","S38",NA,0.1822,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0202","GLM_0202",202,"Soil","Rhizosphere_soil","BRAG2",NA,2,"BRAG","Bromus hordeaceus, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","F","241.9","MoBio PowerSoil","PS16F2","0.817","7/11/18","Cassie",2,"G7","",NA,"Bromus hordeaceus","Agoseris heterophylla","S175",NA,0.13,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0224","GLM_0224",224,"Soil","Rhizosphere_soil","AVAG4",NA,4,"AVAG","Avena fatua, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","L","346.5","MoBio PowerSoil","PS16F2","4.48","7/6/18","Marina",1,"D1","",NA,"Avena fatua","Agoseris heterophylla","S37",0.0175,0.1832,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0225","GLM_0225",225,"Soil","Rhizosphere_soil","AVAG5",NA,5,"AVAG","Avena fatua, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","105.3","MoBio PowerSoil","PS16F2","3.74","7/2/18","Marina",2,"A3","",NA,"Avena fatua","Agoseris heterophylla","S99",0.0343,0.2435,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0221","GLM_0221",221,"Soil","Rhizosphere_soil","AVAG1",NA,1,"AVAG","Avena fatua","Agoseris heterophylla","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","L","159.7","MoBio PowerSoil","PS16F2","6.64","7/6/18","Marina",2,"E6","",NA,"Avena fatua","Agoseris heterophylla","S150",NA,0.1862,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0222","GLM_0222",222,"Soil","Rhizosphere_soil","AVAG2",NA,2,"AVAG","Avena fatua, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","61.5","MoBio PowerSoil","PS16F2","4.19","7/2/18","Marina",1,"G8","",NA,"Avena fatua","Agoseris heterophylla","S80",0.0665,0.1689,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0223","GLM_0223",223,"Soil","Rhizosphere_soil","AVAG3",NA,3,"AVAG","Avena fatua, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","F","408.3","MoBio PowerSoil","PS16F2","2.38","7/11/18","Cassie",2,"F6","",NA,"Avena fatua","Agoseris heterophylla","S162",0.0532,0.0332,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0156","GLM_0156",156,"Soil","Rhizosphere_soil","TAAG1",NA,1,"TAAG","Elymus caput-medusae","Agoseris heterophylla","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","J","91.4","MoBio PowerSoil","PS16F2","1.27","7/1/18","Marina",1,"C1","",NA,"Elymus caput-medusae","Agoseris heterophylla","S25",NA,0.1535,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0137","GLM_0137",137,"Soil","Rhizosphere_soil","AG1","M",1,"AG","None","Agoseris heterophylla","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","H","232.1","MoBio PowerSoil","PS16F2","5","7/9/18","Marina",1,"A2","No plant, only soil",NA,"none","Agoseris heterophylla","S2",NA,NA,NA,-0.876427665,"SA","Forb"
"GLM-0138","GLM_0138",138,"Soil","Rhizosphere_soil","AG2","M",2,"AG","Agoseris heterophylla","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","G","199.9","MoBio PowerSoil","PS16F2","5.29","7/12/18","Cassie",1,"A11","",NA,"none","Agoseris heterophylla","S11",0.0728,NA,0.0728,-0.876427665,"SA","Forb"
"GLM-0139","GLM_0139",139,"Soil","Rhizosphere_soil","AG3","M",3,"AG","Agoseris heterophylla","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","F","336.4","MoBio PowerSoil","PS16F2","2.33","7/11/18","Cassie",1,"F3","",NA,"none","Agoseris heterophylla","S63",0.0778,NA,0.0778,-0.876427665,"SA","Forb"
"GLM-0140","GLM_0140",140,"Soil","Rhizosphere_soil","AG4","M",4,"AG","Agoseris heterophylla","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","E","105.2","MoBio PowerSoil","PS15H25","1.68","7/9/18","Cassie",2,"D2","",NA,"none","Agoseris heterophylla","S134",0.0843,NA,0.0843,-0.876427665,"SA","Forb"
"GLM-0141","GLM_0141",141,"Soil","Rhizosphere_soil","AG5","M",5,"AG","Agoseris heterophylla","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","F","296.3","MoBio PowerSoil","PS16F2","1.92","7/11/18","Cassie",2,"H7","",NA,"none","Agoseris heterophylla","S187",0.0549,NA,0.0549,-0.876427665,"SA","Forb"
"GLM-0205","GLM_0205",205,"Soil","Rhizosphere_soil","BRAG5",NA,5,"BRAG","Bromus hordeaceus, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","L","259.8","MoBio PowerSoil","PS16F2","4.25","7/6/18","Marina",2,"C5","",NA,"Bromus hordeaceus","Agoseris heterophylla","S125",0.0063,0.1499,NA,-0.876427665,"SA","grass_x_forb"
"GLM-0158","GLM_0158",158,"Soil","Rhizosphere_soil","TAAG3",NA,3,"TAAG","Elymus caput-medusae, Agoseris heterophylla","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","N","476","MoBio PowerSoil","PS15H25","11.5","7/11/18","Marina",1,"A6","",NA,"Elymus caput-medusae","Agoseris heterophylla","S6",0.0311,0.1757,NA,-0.876427665,"SA","grass_x_forb"
